@relation trainSet

@attribute coverage numeric
@attribute dependent_and_referenced numeric
@attribute distinct_dependent_values numeric
@attribute multi_dependent numeric
@attribute multi_referenced numeric
@attribute foreignKey {FOREIGN_KEY,UNKNOWN,NO_FOREIGN_KEY}

@data
1.0,0,5,45,88,FOREIGN_KEY
0.01181918287107132,0,37041,1,96,FOREIGN_KEY
1.7208836E7,0,17208836,1,104,FOREIGN_KEY
1.0,0,4,44,86,FOREIGN_KEY
0.00685776562275092,0,1334,1,110,FOREIGN_KEY
1.0281507680286237E-4,0,20,7,110,FOREIGN_KEY
0.6742371029423242,0,8639,2,75,FOREIGN_KEY
0.013612415239928158,0,13665,1,109,FOREIGN_KEY
0.375,0,6,38,68,FOREIGN_KEY
8.225206144228989E-5,0,16,8,110,FOREIGN_KEY
0.9999651066428229,0,114631,1,192,FOREIGN_KEY
0.03545331529093369,0,131,4,151,FOREIGN_KEY
0.05834813140689321,0,5783,2,160,FOREIGN_KEY
0.012962882191302831,0,1486,2,192,FOREIGN_KEY
0.10325014469105843,0,103649,2,109,FOREIGN_KEY
0.0020185406698564595,0,108,4,100,FOREIGN_KEY
0.9284162201100195,0,939560,1,74,FOREIGN_KEY
0.08912635756967767,0,10217,2,192,FOREIGN_KEY
1.8690191387559808E-5,0,1,154,100,NO_FOREIGN_KEY
6.353240152477764E-4,0,1,168,106,NO_FOREIGN_KEY
7.222641536689213E-7,0,1,147,206,NO_FOREIGN_KEY
8.734310993877248E-6,0,1,164,230,NO_FOREIGN_KEY
0.034482758620689655,0,1,181,51,NO_FOREIGN_KEY
0.002277904328018223,0,1,162,52,NO_FOREIGN_KEY
4.719131453294284E-7,0,9,11,206,NO_FOREIGN_KEY
1.3517166801838335E-4,0,1,143,89,NO_FOREIGN_KEY
4.293762022533663E-6,0,1,154,112,NO_FOREIGN_KEY
0.0013910969793322733,0,14,15,146,NO_FOREIGN_KEY
7.222641536689213E-7,0,1,3,206,NO_FOREIGN_KEY
1.0,0,1,165,59,NO_FOREIGN_KEY
0.00558659217877095,0,1,160,133,NO_FOREIGN_KEY
1.1519012129519773E-5,0,1,176,71,NO_FOREIGN_KEY
0.0025575447570332483,0,2,63,128,NO_FOREIGN_KEY
2.6994560596039897E-6,65,1,70,128,NO_FOREIGN_KEY
5.3810675639847944E-8,0,1,157,183,NO_FOREIGN_KEY
3.532969672988327E-6,0,1,144,58,NO_FOREIGN_KEY
3.532969672988327E-6,0,1,176,80,NO_FOREIGN_KEY
1.378929950358522E-4,0,1,149,177,NO_FOREIGN_KEY
0.01639344262295082,0,12,39,149,NO_FOREIGN_KEY
1.0,0,1,181,58,NO_FOREIGN_KEY
7.804573480059315E-5,0,1,166,75,NO_FOREIGN_KEY
0.14285714285714285,0,1,166,96,NO_FOREIGN_KEY
0.2,66,1,161,74,NO_FOREIGN_KEY
0.1111111111111111,0,1,167,94,NO_FOREIGN_KEY
1.3517166801838335E-4,0,1,162,64,NO_FOREIGN_KEY
1.0,0,1,162,70,NO_FOREIGN_KEY
9.975062344139652E-5,0,1,167,163,NO_FOREIGN_KEY
0.5,0,1,162,63,NO_FOREIGN_KEY
0.2,0,1,151,84,NO_FOREIGN_KEY
0.3333333333333333,65,1,157,68,NO_FOREIGN_KEY
0.5,0,1,1,132,NO_FOREIGN_KEY
0.3333333333333333,0,1,163,75,NO_FOREIGN_KEY
0.1,0,1,154,57,NO_FOREIGN_KEY
1.7664848364941637E-5,0,5,11,72,NO_FOREIGN_KEY
0.0012690355329949238,0,1,169,143,NO_FOREIGN_KEY
1.1838348640766548E-6,0,22,16,183,NO_FOREIGN_KEY
2.878664299764909E-4,0,6,43,126,NO_FOREIGN_KEY
0.1111111111111111,0,1,168,59,NO_FOREIGN_KEY
1.0,0,1,162,65,NO_FOREIGN_KEY
1.7468621987754496E-5,70,2,66,230,NO_FOREIGN_KEY
0.07692307692307693,0,1,175,66,NO_FOREIGN_KEY
0.03333333333333333,78,2,65,125,NO_FOREIGN_KEY
0.6666666666666666,0,2,59,75,NO_FOREIGN_KEY
6.588778519527822E-7,0,1,162,142,NO_FOREIGN_KEY
1.0,64,1,146,61,NO_FOREIGN_KEY
5.36327710533208E-6,0,6,44,140,NO_FOREIGN_KEY
1.2750223128904755E-4,0,1,160,207,NO_FOREIGN_KEY
0.2,0,1,166,90,NO_FOREIGN_KEY
6.588778519527822E-7,0,1,163,69,NO_FOREIGN_KEY
0.5,0,1,165,58,NO_FOREIGN_KEY
0.25,0,1,171,75,NO_FOREIGN_KEY
0.1111111111111111,0,1,173,57,NO_FOREIGN_KEY
1.582979801177737E-4,118,15,34,196,NO_FOREIGN_KEY
3.190837955528015E-7,0,1,173,67,NO_FOREIGN_KEY
0.0014204545454545455,0,1,173,73,NO_FOREIGN_KEY
0.5,0,1,176,58,NO_FOREIGN_KEY
1.0,0,1,162,63,NO_FOREIGN_KEY
